TagName;TagZahl;Monat;Titel;Personen;Ort;Land;EventHash;TimeAppoint;TimeSeen;TimeDeleted
Thu;19;Dec;Vice-President Margaritis Schinas and Commissioner Ylva Johannsson prepare the New Pact on Migration and Asylum,with Mr Sándor Pintér, Minister of Interior of Hungary;Margaritis Schinas, Ylva Johansson;Budapest;Hungary;82f1efcdd699ddb6e063077c9fb6db91228db036;2019-12-19;1576710000;NA
Mon;16;Dec;President von der Leyen meets Mr Manfred Weber, Chairman of the EPP Group in the European Parliament; Ms Iratxe García Pérez, President of the S&D Group in the EP; and Mr Dacian Cioloş, President of the Renew Europe Group in the EP;Ursula von der Leyen;Strasbourg;France;f9bc89bb281e45b8a4e5fb7b387b11c007a35697;2019-12-16;1576450800;NA
Tue;17;Dec;Meeting of the College of Commissioners;Ursula von der Leyen;Strasbourg;France;36be70cce95153304a563f6037a6cc48e91ada4c;2019-12-17;1576537200;NA
Tue;17;Dec;President Ursula von der Leyen meets Mr Fabio Massimo Castaldo, Vice-President of the European Parliament;Ursula von der Leyen;Strasbourg;France;dff8e84bc5c8b219fff3227d5773497b682319d0;2019-12-17;1576537200;NA
Tue;17;Dec;President Ursula von der Leyen meets Ms Ska Keller and Mr Philippe Lamberts, Co-Chairs of the Greens / EFA Group in the European Parliament;Ursula von der Leyen;Strasbourg;France;4c0b1928abccd42d33f621ea08e70243cf91d825;2019-12-17;1576537200;NA
Wed;18;Dec;President Ursula von der Leyen addresses the plenary of the European Parliament on the 10th anniversary of the Lisbon Treaty and on the conclusions of the European Council;Ursula von der Leyen;Strasbourg;France;d5a9168d43755ff5beef6d3c240cca5928edffe2;2019-12-18;1576623600;NA
Wed;18;Dec;President Ursula von der Leyen meets Mr Ryszard Legutko and Mr Raffaele Fitto, Co-Chairs of the ECR Group in the European Parliament;Ursula von der Leyen;Strasbourg;France;e73718033d3933d6f743f643f6e0b4983b1674e5;2019-12-18;1576623600;NA
Wed;18;Dec;Commissioner Olivér Várhelyi receives Mr Bujar Osmani, Deputy Prime Minister in charge of European Affairs of North Macedonia;Olivér Várhelyi;NA;NA;eb365afbf9d0204f3d08878393bc384ab3a4810b;2019-12-18;1576623600;NA
Wed;18;Dec;Commissioner Jutta Urpilainen delivers closing remarks at the Geneva Global Refugee Forum;Jutta Urpilainen;Geneva;Switzerland;4c3a57da78304527e37efb1a1ad519d91ffdea60;2019-12-18;1576623600;NA
Thu;19;Dec;President Ursula von der Leyen receives Mr Pierre Gattaz, President of BusinessEurope;Ursula von der Leyen;Brussels;Belgium;b94cd8270b59d71728ef39b3787a665cef07c2f2;2019-12-19;1576710000;NA
